"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"25909","Unitrin Preferred Insurance Company","0","0","0","0","0","4.4880825","37","2022"
"12475","Republic-Franklin Insurance Company","0","0","0","0","0","4.3970045","38","2022"
"25623","Phoenix Insurance Company","0","0","0","2","2","4.385227","39","2022"
"15210","Sterling Insurance Company","0","0","0","0","0","4.2215435","40","2022"
"22748","Pacific Employers Insurance Company","0","0","0","0","0","3.9890215","41","2022"
"14788","NGM Insurance Company","0","0","0","1","1","3.822194","42","2022"
"19062","Automobile Insurance Company of Hartford, Connecticut","0","0","0","2","2","3.7749925","43","2022"
"10071","Encompass Insurance Company of America","0","0","0","1","1","3.6966165","44","2022"
"10226","Unitrin Direct Insurance Company","0","0","0","0","0","3.491734","45","2022"
"28188","TravCo Insurance Company","0","0","1","0","1","3.4584905","46","2022"
"10723","Nationwide Assurance Company","0","0","0","0","0","3.083151","47","2022"
"15130","Encompass Indemnity Company","0","0","0","0","0","2.808059","48","2022"
"40754","Blue Ridge Indemnity Company","0","0","0","0","0","2.777825","49","2022"
"12287","Amica Property and Casualty Insurance Company","0","0","0","0","0","2.7040435","50","2022"
"11000","Sentinel Insurance Company, Ltd.","0","0","1","0","1","2.6302925","51","2022"
"29963","United Farm Family Insurance Company","0","0","0","1","1","2.6048905","52","2022"
"25615","Charter Oak Fire Insurance Company","0","0","0","0","0","1.956261","53","2022"
"20397","Vigilant Insurance Company","0","0","0","0","0","1.79035","54","2022"
"10072","Encompass Property and Casualty Company","0","0","0","0","0","1.605327","55","2022"
"10806","Farmers New Century Insurance Company","0","0","0","0","0","1.335416","56","2022"
"34690","Property and Casualty Insurance Company of Hartford","0","0","0","1","1","1.0641705","57","2022"
"19682","Hartford Fire Insurance Company","0","0","0","0","0","1.02061","58","2022"
"22357","Hartford Accident and Indemnity Company","0","0","0","0","0","1.0193225","59","2022"
"24279","Progressive Max Insurance Company","0.008201101","2","27","56","85","243.869698","60","2022"
"22055","GEICO Indemnity Company","0.011097726","12","40","163","215","1081.302608","61","2022"
"14834","New York Central Mutual Fire Insurance Company","0.011267798","4","21","37","62","354.993924","62","2022"
"26298","Farmers Property and Casualty Insurance Company","0.011921861","1","4","12","17","83.8795225","63","2022"
"19976","Amica Mutual Insurance Company","0.012500249","1","2","5","8","79.9984055","64","2022"
"36587","Plymouth Rock Assurance Preferred Corporation","0.014190796","1","6","8","15","70.4682105","65","2022"
"25968","USAA Casualty Insurance Company","0.01440381","2","10","24","36","138.85215","66","2022"
